daily,JPY/USD,diff_1,diff_2
2016-05-30,111.13,0.9200000000000017,0.45000000000000284
2016-05-31,110.72,-0.4099999999999966,-1.3299999999999983
2016-06-01,109.48,-1.2399999999999949,-0.8299999999999983
2016-06-02,108.83,-0.6500000000000057,0.5899999999999892
2016-06-03,106.53,-2.299999999999997,-1.6499999999999915
2016-06-06,107.54,1.0100000000000051,3.3100000000000023
2016-06-07,107.33,-0.21000000000000796,-1.220000000000013
2016-06-08,106.86,-0.46999999999999886,-0.2599999999999909
2016-06-09,106.96,0.09999999999999432,0.5699999999999932
2016-06-10,106.91,-0.04999999999999716,-0.14999999999999147
2016-06-13,106.11,-0.7999999999999972,-0.75
2016-06-14,106.0,-0.10999999999999943,0.6899999999999977
2016-06-15,105.99,-0.010000000000005116,0.09999999999999432
2016-06-16,104.31,-1.6799999999999926,-1.6699999999999875
2016-06-17,104.11,-0.20000000000000284,1.4799999999999898
2016-06-20,103.97,-0.14000000000000057,0.060000000000002274
2016-06-21,104.77,0.7999999999999972,0.9399999999999977
2016-06-22,104.83,0.060000000000002274,-0.7399999999999949
2016-06-23,106.57,1.7399999999999949,1.6799999999999926
2016-06-24,102.19,-4.3799999999999955,-6.11999999999999
2016-06-27,101.89,-0.29999999999999716,4.079999999999998
2016-06-28,102.71,0.8199999999999932,1.1199999999999903
2016-06-29,102.9,0.19000000000001194,-0.6299999999999812
2016-06-30,103.28,0.37999999999999545,0.18999999999998352
2016-07-01,102.52,-0.7600000000000051,-1.1400000000000006
2016-07-04,102.54,0.020000000000010232,0.7800000000000153
2016-07-05,101.71,-0.8300000000000125,-0.8500000000000227
2016-07-06,101.38,-0.3299999999999983,0.5000000000000142
2016-07-07,100.75,-0.6299999999999955,-0.29999999999999716
2016-07-08,100.5,-0.25,0.37999999999999545
2016-07-11,102.76,2.260000000000005,2.510000000000005
2016-07-12,104.74,1.9799999999999898,-0.28000000000001535
2016-07-13,104.36,-0.37999999999999545,-2.359999999999985
2016-07-14,105.33,0.9699999999999989,1.3499999999999943
2016-07-15,104.65,-0.6799999999999926,-1.6499999999999915
2016-07-18,106.14,1.4899999999999949,2.1699999999999875
2016-07-19,106.05,-0.09000000000000341,-1.5799999999999983
2016-07-20,107.2,1.1500000000000057,1.240000000000009
2016-07-21,106.15,-1.0499999999999972,-2.200000000000003
2016-07-22,106.15,0.0,1.0499999999999972
2016-07-25,105.82,-0.3300000000000125,-0.3300000000000125
2016-07-26,104.75,-1.0699999999999932,-0.7399999999999807
2016-07-27,105.28,0.5300000000000011,1.5999999999999943
2016-07-28,105.29,0.010000000000005116,-0.519999999999996
2016-07-29,102.03,-3.260000000000005,-3.2700000000000102
2016-08-01,102.34,0.3100000000000023,3.5700000000000074
2016-08-02,100.91,-1.4300000000000068,-1.740000000000009
2016-08-03,101.26,0.3500000000000085,1.7800000000000153
2016-08-04,101.17,-0.09000000000000341,-0.44000000000001194
2016-08-05,101.82,0.6499999999999915,0.7399999999999949
2016-08-08,102.44,0.6200000000000045,-0.029999999999986926
2016-08-09,101.85,-0.5900000000000034,-1.210000000000008
2016-08-10,101.17,-0.6799999999999926,-0.0899999999999892
2016-08-11,101.91,0.7399999999999949,1.4199999999999875
2016-08-12,101.25,-0.6599999999999966,-1.3999999999999915
2016-08-15,101.26,0.010000000000005116,0.6700000000000017
2016-08-16,100.26,-1.0,-1.0100000000000051
2016-08-17,100.22,-0.04000000000000625,0.9599999999999937
2016-08-18,99.92,-0.29999999999999716,-0.2599999999999909
2016-08-19,100.21,0.28999999999999204,0.5899999999999892
2016-08-22,100.31,0.10000000000000853,-0.18999999999998352
2016-08-23,100.19,-0.12000000000000455,-0.22000000000001307
2016-08-24,100.46,0.269999999999996,0.39000000000000057
2016-08-25,100.54,0.0800000000000125,-0.18999999999998352
2016-08-26,101.81,1.269999999999996,1.1899999999999835
2016-08-29,101.9,0.09000000000000341,-1.1799999999999926
2016-08-30,102.99,1.0899999999999892,0.9999999999999858
2016-08-31,103.31,0.3200000000000074,-0.7699999999999818
2016-09-01,103.22,-0.09000000000000341,-0.4100000000000108
2016-09-02,103.91,0.6899999999999977,0.7800000000000011
2016-09-05,103.42,-0.4899999999999949,-1.1799999999999926
2016-09-06,102.06,-1.3599999999999994,-0.8700000000000045
2016-09-07,101.68,-0.37999999999999545,0.980000000000004
2016-09-08,102.38,0.6999999999999886,1.079999999999984
2016-09-09,102.67,0.29000000000000625,-0.4099999999999824
2016-09-12,101.93,-0.7399999999999949,-1.0300000000000011
2016-09-13,102.53,0.5999999999999943,1.3399999999999892
2016-09-14,102.37,-0.1599999999999966,-0.7599999999999909
2016-09-15,102.06,-0.3100000000000023,-0.15000000000000568
2016-09-16,102.27,0.20999999999999375,0.519999999999996
2016-09-19,101.88,-0.39000000000000057,-0.5999999999999943
2016-09-20,101.72,-0.1599999999999966,0.23000000000000398
2016-09-21,100.43,-1.289999999999992,-1.1299999999999955
2016-09-22,100.79,0.35999999999999943,1.6499999999999915
2016-09-23,101.05,0.2599999999999909,-0.10000000000000853
2016-09-26,100.3,-0.75,-1.009999999999991
2016-09-27,100.4,0.10000000000000853,0.8500000000000085
2016-09-28,100.73,0.3299999999999983,0.22999999999998977
2016-09-29,101.08,0.3499999999999943,0.01999999999999602
2016-09-30,101.32,0.23999999999999488,-0.10999999999999943
2016-10-03,101.65,0.3300000000000125,0.09000000000001762
2016-10-04,102.9,1.25,0.9199999999999875
2016-10-05,103.5,0.5999999999999943,-0.6500000000000057
2016-10-06,103.98,0.480000000000004,-0.11999999999999034
2016-10-07,102.89,-1.0900000000000034,-1.5700000000000074
2016-10-10,103.65,0.7600000000000051,1.8500000000000085
2016-10-11,103.54,-0.10999999999999943,-0.8700000000000045
2016-10-12,104.25,0.7099999999999937,0.8199999999999932
2016-10-13,103.66,-0.5900000000000034,-1.2999999999999972
2016-10-14,104.12,0.46000000000000796,1.0500000000000114
2016-10-17,103.84,-0.28000000000000114,-0.7400000000000091
2016-10-18,103.86,0.01999999999999602,0.29999999999999716
2016-10-19,103.38,-0.480000000000004,-0.5
2016-10-20,103.96,0.5799999999999983,1.0600000000000023
2016-10-21,103.8,-0.1599999999999966,-0.7399999999999949
2016-10-24,104.22,0.4200000000000017,0.5799999999999983
2016-10-25,104.21,-0.010000000000005116,-0.4300000000000068
2016-10-26,104.47,0.2600000000000051,0.27000000000001023
2016-10-27,105.23,0.7600000000000051,0.5
2016-10-28,104.66,-0.5700000000000074,-1.3300000000000125
2016-10-31,104.75,0.09000000000000341,0.6600000000000108
2016-11-01,104.02,-0.730000000000004,-0.8200000000000074
2016-11-02,103.34,-0.6799999999999926,0.05000000000001137
2016-11-03,102.96,-0.38000000000000966,0.29999999999998295
2016-11-04,103.09,0.13000000000000966,0.5100000000000193
2016-11-07,104.5,1.4099999999999966,1.279999999999987
2016-11-08,105.11,0.6099999999999994,-0.7999999999999972
2016-11-09,105.68,0.5700000000000074,-0.03999999999999204
2016-11-10,106.8,1.1199999999999903,0.549999999999983
2016-11-11,106.62,-0.1799999999999926,-1.299999999999983
2016-11-14,108.425,1.8049999999999926,1.9849999999999852
2016-11-15,109.2,0.7750000000000057,-1.029999999999987
2016-11-16,109.09,-0.10999999999999943,-0.8850000000000051
2016-11-17,110.135,1.0450000000000017,1.1550000000000011
2016-11-18,110.86,0.7249999999999943,-0.3200000000000074
2016-11-21,110.81,-0.04999999999999716,-0.7749999999999915
2016-11-22,111.15,0.3400000000000034,0.39000000000000057
2016-11-23,112.5,1.3499999999999943,1.009999999999991
2016-11-24,113.4,0.9000000000000057,-0.44999999999998863
2016-11-25,113.21,-0.19000000000001194,-1.0900000000000176
2016-11-28,111.91,-1.2999999999999972,-1.1099999999999852
2016-11-29,112.37,0.46000000000000796,1.7600000000000051
2016-11-30,114.455,2.0849999999999937,1.6249999999999858
2016-12-01,114.095,-0.35999999999999943,-2.444999999999993
2016-12-02,113.515,-0.5799999999999983,-0.21999999999999886
2016-12-05,113.845,0.3299999999999983,0.9099999999999966
